wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K09873: aquaporin TIP	0.006	0.013	0.009	0.03	0.007	0.028	0.737	0.718	0.97	0.942	0.052	1	0.749008146639511	0.969276114437791	0.980632785251619	0.962557327513849	0.9956866689993	1	0.031	0.031
K09872: aquaporin PIP	0.141	0.123	0.104	0.131	0.019	0.077	0.000485	0.33	0.000804	0.069	0.579	0.0779	0.00083742214532872	0.608884510457715	0.00120718993586581	0.086759553811196	0.9956866689993	0.255759061488673	0.107	0.254
K05593: aminoglycoside 6-adenylyltransferase	0.904	0.545	0.633	0.593	0	0	9.84e-12	0.0463	7.6e-09	0.000542	0.604	5.74e-06	7.20757431192661e-11	0.146404207792208	1.56817627118644e-08	0.00092907744297381	0.9956866689993	0.000739804615384615	0.276	0.584
K09874: aquaporin NIP	0.035	0.044	0.018	0.022	0	0	5e-04	0.0935	0.00246	0.296	0.679	0.283	0.000861830742659758	0.244894363166954	0.00353160849056604	0.333967006487488	0.9956866689993	0.571729505476269	0.109	0.183
K10200: N-acetylglucosamine transport system substrate-binding protein	0.875	0.389	0.923	0.488	0.068	0.273	1.23e-10	0.841	2.4e-11	8.22e-10	0.744	1	6.99452991452991e-10	1	5.60583269378358e-11	2.25994308943089e-09	0.9956866689993	1	0.295	0.295
K07177: PDZ domain-containing protein	0.315	0.376	0.231	0.302	0.004	0.017	0.000703	0.492	0.00282	0.0902	0.51	0.000164	0.00117029858215179	0.791020602218701	0.00401810393258427	0.111008370400323	0.9956866689993	0.00504175757575758	0.089	0.436
K07174: Mn2+-dependent serine/threonine protein kinase	0.089	0.192	0.097	0.215	0	0	0.0754	0.98	0.181	0.224	0.56	0.0364	0.0874228289282602	1	0.205780164363093	0.258334217506631	0.9956866689993	0.159515334773218	0.037	0.198
K07175: PhoH-like ATPase	1.382	0.304	0.904	0.464	0.075	0.3	<2e-16	2.3e-09	1.67e-15	3.5e-12	0.0612	0.103	NA	9.15039215686274e-08	6.84531313131313e-15	1.12662612374405e-11	0.9956866689993	0.304202328966521	0.622	0.666
K07172	1.061	0.8	0.743	0.749	0.026	0.106	8.83e-07	0.119	2.88e-06	0.00762	0.6	1.72e-07	2.51781142857143e-06	0.293855172413793	5.16364064801178e-06	0.0111417103050685	0.9956866689993	6.15861176470588e-05	0.128	0.593
K07173: S-ribosylhomocysteine lyase	1.823	0.427	1.553	0.681	0.111	0.445	<2e-16	0.0299	1.89e-15	3.09e-14	0.975	0.9	NA	0.106933783783784	7.47526315789474e-15	1.24061143984221e-13	0.998386055843504	1	0.544	0.548
K07170: GAF domain-containing protein	1.599	0.439	1.385	0.59	0.204	0.559	<2e-16	0.103	2.41e-14	5.8e-12	0.854	0.533	NA	0.262766554903604	7.59692905230451e-14	1.83878125e-11	0.9956866689993	0.849534171249018	0.451	0.475
K07171	2.137	0.468	2.088	0.506	0.271	0.747	<2e-16	0.894	1.67e-15	1.32e-14	0.498	0.196	NA	1	6.84531313131313e-15	7.91609852216749e-14	0.9956866689993	0.453631939163498	0.574	0.627
K00194: carbon-monoxide dehydrogenase delta subunit	0.494	0.435	0.339	0.438	0	0	9.07e-05	0.192	5.39e-05	0.026	0.597	1	0.000180495712861416	0.416353402208764	8.92517138193689e-05	0.0350602569782898	0.9956866689993	1	0.129	0.129
K00197: carbon-monoxide dehydrogenase gamma subunit	0.547	0.439	0.529	0.509	0	0	1.04e-05	0.979	1.7e-05	0.000402	0.325	0.0676	2.45081463990555e-05	1	2.9091650267079e-05	0.000699735201601373	0.9956866689993	0.23392905059693	0.153	0.297
K00196: carbon-monoxide dehydrogenase iron sulfur subunit	0.607	0.275	0.61	0.253	0.011	0.044	9.25e-16	0.999	6.72e-14	2.65e-11	0.429	0.0501	5.15633333333333e-14	1	1.74507849829352e-13	8.01717196819085e-11	0.9956866689993	0.19486178913738	0.403	0.537
K00190	0.111	0.107	0.082	0.072	0	0	5.52e-06	0.342	8.69e-05	0.0181	0.342	4.58e-05	1.3652936802974e-05	0.623466307277628	0.000141660498125335	0.0250340149965917	0.9956866689993	0.00242421391304348	0.132	0.524
K00193: carbon-monoxide dehydrogenase beta subunit	0.389	0.336	0.401	0.378	0.05	0.198	0.000243	0.985	0.000603	0.00261	0.0733	0.0222	0.000448062817551963	1	0.000917156671664168	0.00409249613601236	0.9956866689993	0.117199826539462	0.123	0.288
K05577: NADH dehydrogenase I subunit 5	0.623	0.186	0.629	0.227	0.626	0.145	0.994	0.989	0.998	0.999	0.217	0.158	0.994249060385868	1	1	1	0.9956866689993	0.39399672265465	0.009	0.147
K00198: carbon-monoxide dehydrogenase catalytic subunit	0.828	0.408	0.792	0.415	0	0	1.2e-12	0.898	1.29e-12	2.62e-09	0.0382	0.00948	1.1192523364486e-11	1	3.16367042707494e-12	6.98246059544659e-09	0.9956866689993	0.0656481911262799	0.325	0.521
K10109: maltose/maltodextrin transport system permease protein	1.136	0.398	1.194	0.508	0.148	0.361	2.51e-14	0.793	5.04e-14	1.68e-12	0.712	0.1	4.47317857142857e-13	1	1.32120930232558e-13	5.52168466522678e-12	0.9956866689993	0.298675171736997	0.378	0.472
K10108: maltose/maltodextrin transport system substrate-binding protein	1.272	0.396	1.3	0.428	0.002	0.008	<2e-16	0.941	3e-15	2.12e-14	0.762	0.0644	NA	1	1.12099447513812e-14	1.15321179624665e-13	0.9956866689993	0.227908604651163	0.55	0.651
K10105: lipoyltransferase 1	0.378	0.57	1.802	0.804	3.167	0.095	<2e-16	1.52e-14	1.67e-15	5.83e-11	0.924	0.0583	NA	1.77927692307692e-12	6.84531313131313e-15	1.72519251336898e-10	0.9956866689993	0.214553869407497	0.727	0.783
K10706: senataxin	0.057	0.071	0.055	0.077	0.154	0.266	0.00476	0.996	0.00348	0.0121	0.0287	1	0.00676706552706553	1	0.00491593409143653	0.0172005371321812	0.9956866689993	1	0.103	0.103
K04678: E3 ubiquitin ligase SMURF1/2	0.024	0.095	0.123	0.228	0.843	0.461	<2e-16	0.0548	1.67e-15	8.77e-15	0.485	1	NA	0.166867233616808	6.84531313131313e-15	5.73394092373792e-14	0.9956866689993	1	0.624	0.624
K01828	1.098	0.31	0.762	0.489	0.136	0.322	<2e-16	5.36e-05	2.83e-14	2.81e-07	0.945	0.0605	NA	0.000889000544959128	8.48839406207827e-14	6.52095691955776e-07	0.997316972001383	0.219596601073345	0.458	0.541
K01829: protein disulfide-isomerase	0.636	0.44	0.556	0.459	0.078	0.245	1.08e-06	0.653	8.75e-06	0.00133	0.0685	0.0087	3.03403237156932e-06	0.925881900768693	1.52305547612239e-05	0.00216404971932638	0.9956866689993	0.0622242505854801	0.184	0.403
K01826: 5-carboxymethyl-2-hydroxymuconate isomerase	1.045	0.316	0.891	0.466	0.116	0.318	<2e-16	0.103	2.98e-14	2.45e-10	0.824	0.0705	NA	0.262766554903604	8.48839406207827e-14	6.94927772600186e-10	0.9956866689993	0.239873392956959	0.448	0.528
K01824: cholestenol delta-isomerase	0.021	0.103	0.041	0.198	0.014	0.05	0.704	0.73	0.972	0.757	0.0746	1	0.717479703854991	0.977885123239437	0.982002323651452	0.796105563234278	0.9956866689993	1	0.027	0.027
K01825: dodecenoyl-CoA delta-isomerase	0.274	0.29	0.426	0.429	0.09	0.24	8.26e-05	0.0692	0.0842	0.00277	0.507	0.00104	0.00016578139768728	0.197292927400468	0.0999269643205303	0.00432443959989741	0.9956866689993	0.0159860606060606	0.106	0.344
K01823: isopentenyl-diphosphate delta-isomerase	1.166	0.403	1.058	0.572	0.245	0.527	8.49e-13	0.507	1.81e-11	1.99e-07	0.272	0.0166	8.28657212713936e-12	0.804512252346194	4.25549246813442e-11	4.66787283236994e-07	0.9956866689993	0.0959584045584046	0.341	0.49
K01820	0.346	0.378	0.265	0.375	0.071	0.272	0.012	0.562	0.0174	0.216	0.47	0.207	0.0157942631058358	0.852453027660105	0.022699057008144	0.249865450399088	0.9956866689993	0.468579025660097	0.066	0.169
K01821: 4-oxalocrotonate tautomerase	0.635	0.709	0.642	0.76	0	0	0.00308	0.998	0.00214	0.00886	0.827	1	0.00454710059171598	1	0.00309631091038745	0.0128376148536063	0.9956866689993	1	0.08	0.08
K00999: CDP-diacylglycerol--inositol 3-phosphatidyltransferase	0.043	0.053	0.029	0.061	0	0	0.00308	0.403	0.00599	0.17	0.156	0.0109	0.00454710059171598	0.689643238684285	0.00829038881309686	0.199804981656691	0.9956866689993	0.0719612798264642	0.09	0.271
K00998: phosphatidylserine synthase	1.781	0.251	1.347	0.677	0.108	0.34	<2e-16	1.29e-06	1.67e-15	2.61e-14	0.738	0.442	NA	3.52117937219731e-05	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.754685553997195	0.663	0.681
K00995: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	2.039	0.251	1.748	0.662	0.245	0.512	<2e-16	0.0023	1.67e-15	4.77e-15	0.989	0.319	NA	0.0169492736077482	6.84531313131313e-15	3.41990459363958e-14	0.999103431210822	0.616625277865989	0.669	0.688
K00997: holo-[acyl-carrier protein] synthase	1.038	0.607	1.092	0.675	0.119	0.401	5.48e-07	0.907	2.6e-07	2.65e-06	0.401	1	1.61447675276753e-06	1	4.93797191887676e-07	5.69984098939929e-06	0.9956866689993	1	0.196	0.196
K00996: undecaprenyl-phosphate galactose phosphotransferase	1.351	0.215	1.133	0.415	0.022	0.088	<2e-16	0.000354	1.67e-15	1.67e-15	0.569	0.155	NA	0.00408880075901328	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.389387123400743	0.723	0.754
K00991: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2.057	0.25	1.767	0.593	0	0	<2e-16	0.000246	1.67e-15	1.67e-15	0.931	1	NA	0.00308742680412371	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.785	0.785
K00990: [protein-PII] uridylyltransferase	0.454	0.404	0.396	0.477	0.052	0.206	5.42e-06	0.784	0.000918	0.0199	0.673	0.000284	1.34305648665425e-05	1	0.00136890396864282	0.0273434085778781	0.9956866689993	0.0068872828685259	0.148	0.418
K00992	1.631	0.386	1.452	0.546	0.265	0.403	<2e-16	0.124	5.22e-15	3.87e-14	0.742	0.0472	NA	0.30276293622142	1.86796825396825e-14	1.46770654205607e-13	0.9956866689993	0.188893096646943	0.527	0.61
K02622: topoisomerase IV subunit B	1.801	0.224	1.606	0.238	0.167	0.38	<2e-16	0.00105	1.67e-15	1.67e-15	0.968	0.612	NA	0.00949680534918276	6.84531313131313e-15	1.69988127090301e-14	0.998386055843504	0.925986577181208	0.807	0.815
K13483	0.723	0.34	0.684	0.375	0.046	0.184	1.67e-10	0.849	1.99e-11	3.27e-08	0.567	0.825	9.23357340720221e-10	1	4.66787283236994e-11	8.05197815533981e-08	0.9956866689993	1	0.293	0.306
K13482	0.49	0.24	0.535	0.295	0	0	8.16e-16	0.645	1.33e-11	1.52e-10	0.947	0.0036	5.01149538461539e-14	0.918389473684211	3.15130790190736e-11	4.3766508987701e-10	0.997316972001383	0.0359822660098522	0.389	0.561
K13481	0.221	0.181	0.327	0.26	0.01	0.039	7.81e-09	0.0267	0.000185	1.14e-06	0.155	0.00264	3.11152894211577e-08	0.0986781420765027	0.000294019582245431	2.52150436046512e-06	0.9956866689993	0.0285937366548043	0.222	0.411
K13480	0.499	0.319	0.488	0.282	0.006	0.023	3.09e-09	0.982	1.24e-08	1.5e-06	0.0636	0.17	1.33210367170626e-08	1	2.52184430337454e-08	3.27610333692142e-06	0.9956866689993	0.412266932270916	0.262	0.374
K13487	0.029	0.065	0.025	0.056	0	0	0.0384	0.957	0.183	0.38	0.999	0.0443	0.0464805336567617	1	0.207859861914536	0.422708333333333	0.999328348397699	0.181830141604855	0.046	0.181
K13486	0.087	0.183	0.06	0.11	0	0	0.0713	0.712	0.117	0.466	0.954	0.218	0.083030805134189	0.965243652561247	0.136458900172447	0.510261198057204	0.997423222260392	0.483588192419825	0.037	0.182
K05109: Eph receptor A8	0.005	0.019	0.035	0.062	0.195	0.278	7.65e-10	0.31	5.66e-11	1.42e-06	0.573	0.946	3.72879120879121e-09	0.581859389454209	1.30058210645527e-10	3.10918705035971e-06	0.9956866689993	1	0.275	0.277
K05108: EphA7	0.011	0.041	0.04	0.07	0.215	0.291	1.34e-09	0.404	1.08e-10	1.31e-06	0.168	1	6.1841387283237e-09	0.690384053902302	2.4393172541744e-10	2.87765066762901e-06	0.9956866689993	1	0.274	0.274
K08358: tetrathionate reductase subunit B	0.733	0.285	0.641	0.299	0	0	<2e-16	0.257	2.84e-14	1.28e-11	0.0216	0.0298	NA	0.512400589584016	8.48839406207827e-14	3.94899138367968e-11	0.9956866689993	0.140832763975155	0.442	0.577
K08356: arsenite oxidase large subunit	0.009	0.041	0.001	0.003	0	0	0.394	0.523	0.57	0.991	0.916	1	0.412388044048243	0.818170393215112	0.600378958297283	0.997390376984127	0.9956866689993	1	0.013	0.013
K05106: Eph receptor A5	0.01	0.037	0.056	0.099	0.196	0.238	5.96e-10	0.0635	6.09e-11	1.66e-05	0.958	1	2.97032709113608e-09	0.185117097701149	1.39622711864407e-10	3.30317750898987e-05	0.998386055843504	1	0.277	0.277
K03469: ribonuclease HI	2.064	0.333	1.728	0.643	0.566	0.749	<2e-16	0.00293	5.88e-15	1.96e-12	0.519	0.0703	NA	0.020016734006734	2.09552459016393e-14	6.41770844540075e-12	0.9956866689993	0.239728907563025	0.523	0.579
K02100: MFS transporter, SP family, arabinose:H+ symporter	0.724	0.282	0.708	0.365	0.04	0.161	1.18e-15	0.963	5.34e-14	5.51e-11	0.603	0.0178	5.72346987951807e-14	1	1.39504635193133e-13	1.63367608377983e-10	0.9956866689993	0.10004487534626	0.401	0.539
K09607: immune inhibitor A	0.283	0.334	0.51	0.542	0.055	0.218	4.81e-07	0.0147	0.0649	0.000477	0.66	1.24e-07	1.43188068605518e-06	0.0635955223880597	0.0779645352279455	0.000824623402442488	0.9956866689993	5.39134285714286e-05	0.142	0.478
K03462: nicotinamide phosphoribosyltransferase	0.148	0.322	0.126	0.275	0.055	0.221	0.0473	0.94	0.499	0.741	0.848	5.67e-05	0.0563478364667264	1	0.529719741890478	0.780898026315789	0.9956866689993	0.00278332983870968	0.041	0.297
K03465: thymidylate synthase (FAD)	1.51	0.518	1.104	0.636	0.084	0.338	<2e-16	0.00133	2.96e-14	2.16e-08	0.258	9.67e-05	NA	0.0112753621169916	8.48839406207827e-14	5.37088235294118e-08	0.9956866689993	0.0036522	0.469	0.697
K03466: DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	1.969	0.228	1.791	0.225	0.623	0.574	<2e-16	0.0116	1.67e-15	1.89e-15	0.987	0.513	NA	0.0537360730593607	6.84531313131313e-15	1.72222005988024e-14	0.999103431210822	0.827625496952028	0.684	0.697
K01649: 2-isopropylmalate synthase	2.11	0.249	1.849	0.287	0.172	0.465	<2e-16	0.000113	1.67e-15	1.67e-15	0.393	0.707	NA	0.00161842588235294	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.816	0.821
K01643: citrate lyase subunit alpha	1.014	0.431	1.079	0.433	0.065	0.259	5.08e-16	0.743	1.19e-13	4.08e-12	0.1	0.00227	4.66022608695652e-14	0.986614528795811	3.05247787610619e-13	1.30504256437204e-11	0.9956866689993	0.0261855849056604	0.393	0.575
K01640: hydroxymethylglutaryl-CoA lyase	0.495	0.39	0.432	0.438	0.162	0.451	0.0079	0.747	0.00816	0.092	0.693	0.574	0.0107597407028318	0.988690802348337	0.0111217913121361	0.113040775131207	0.9956866689993	0.88972192513369	0.069	0.11
K01641: hydroxymethylglutaryl-CoA synthase	0.17	0.337	0.263	0.439	0	0	0.0607	0.417	0.161	0.0413	0.594	0.00144	0.0712270429159318	0.7050775	0.184385136406397	0.0537854300385109	0.9956866689993	0.0195217817371938	0.029	0.367
K01646: citrate lyase subunit gamma	0.68	0.688	0.668	0.731	0	0	0.000168	0.996	0.000597	0.00448	0.755	0.141	0.000319207996192289	1	0.00090848475	0.00678183536433723	0.9956866689993	0.369305938037866	0.118	0.223
K01647: citrate synthase	1.974	0.248	1.76	0.328	0.608	0.654	<2e-16	0.0084	1.67e-15	1.72e-14	0.998	0.828	NA	0.0427157894736842	6.84531313131313e-15	9.80303370786517e-14	0.999328348397699	1	0.622	0.627
K01644: citrate lyase subunit beta	0.974	0.484	1.011	0.527	0	0	3.26e-15	0.924	4.15e-12	3.7e-10	0.0534	0.003	9.4303768115942e-14	1	1.00162767644726e-11	1.04075323475046e-09	0.9956866689993	0.0316481802426343	0.385	0.551
K02101: arabinose operon protein AraL	0.075	0.077	0.065	0.075	0	0	3.34e-07	0.821	0.000586	0.0129	0.998	0.000832	1.02092496171516e-06	1	0.000892191595797899	0.0182567542431993	0.999328348397699	0.0139514710743802	0.187	0.414
K02594: homocitrate synthase NifV	0.801	0.255	0.666	0.364	0.064	0.248	2.3e-15	0.065	3.01e-14	5.25e-10	0.445	0.313	7.75305785123967e-14	0.188227878211227	8.48839406207827e-14	1.46255148741419e-09	0.9956866689993	0.609089194373402	0.419	0.472
K02592: nitrogenase molybdenum-iron protein NifN	0.022	0.069	0.027	0.044	0.001	0.006	0.301	0.921	0.433	0.382	0.638	0.592	0.319997869507324	1	0.464026584507042	0.424622717311907	0.9956866689993	0.907912320483749	0.018	0.082
K02591: nitrogenase molybdenum-iron protein beta chain	0.139	0.224	0.137	0.234	0	0	0.0549	0.999	0.0444	0.104	0.134	1	0.0649365333333333	1	0.0548534199309925	0.126407348242811	0.9956866689993	1	0.055	0.055
K02590: nitrogen regulatory protein PII 2	0.261	0.235	0.195	0.227	0	0	0.000137	0.351	6.55e-05	0.0148	0.219	1	0.000264844552058111	0.636063411729681	0.000107785482562855	0.0207050333256723	0.9956866689993	1	0.13	0.13
K02599: Notch	0.033	0.106	0.217	0.247	0.547	0.386	<2e-16	3.25e-05	2.76e-14	3.19e-07	0.158	1	NA	0.000592297904191617	8.40846846846847e-14	7.36628603945372e-07	0.9956866689993	1	0.443	0.443
K02598: nitrite transporter NirC	0.673	0.443	0.799	0.472	0.123	0.338	1.02e-05	0.379	2.46e-05	8.1e-06	0.797	1	2.40794795978711e-05	0.665217128027682	4.17219838395096e-05	1.6651367781155e-05	0.9956866689993	1	0.156	0.156
K14060	1.493	0.447	1.316	0.701	0.089	0.358	<2e-16	0.225	2.71e-14	3.56e-12	0.752	0.0276	NA	0.46568344100646	8.30184700553598e-14	1.14472900158479e-11	0.9956866689993	0.133758917197452	0.478	0.59
K14062	0.182	0.332	0.412	0.484	0.088	0.245	0.00106	0.00936	0.6	0.0132	0.867	0.00207	0.00170008838891121	0.0461330526315789	0.629255685733977	0.0186336734693878	0.9956866689993	0.0245137937743191	0.077	0.313
K14063	0.293	0.336	0.251	0.294	0.085	0.339	0.0345	0.822	0.053	0.245	0.439	0.0974	0.0422207234825261	1	0.0646644618159952	0.280691699604743	0.9956866689993	0.294084226190476	0.05	0.2
K14066	0.028	0.04	0.02	0.027	0.002	0.01	0.0345	0.612	0.0279	0.255	0.598	0.983	0.0422207234825261	0.896568953068592	0.035351228143214	0.291435411190387	0.9956866689993	1	0.049	0.051
K14067	0.095	0.095	0.091	0.096	0	0	0.000192	0.967	0.000378	0.00454	0.678	0.149	0.000361028732925106	1	0.000583981218274112	0.00686924683072334	0.9956866689993	0.381879157894737	0.117	0.241
K02841: heptosyltransferase I	0.546	0.41	0.572	0.484	0.021	0.084	2.67e-06	0.951	1.16e-05	8.01e-05	0.442	0.151	6.98927213114754e-06	1	2.00537347344504e-05	0.000149974992310058	0.9956866689993	0.384737128505651	0.171	0.272
K02840: UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase	0.729	0.315	0.577	0.406	0.013	0.052	2.16e-12	0.0714	2.53e-13	2.79e-07	0.819	0.0657	1.87858823529412e-11	0.201489012517385	6.38214256112723e-13	6.47701372997712e-07	0.9956866689993	0.230499077809798	0.341	0.44
K02843: heptosyltransferase II	1.12	0.398	0.98	0.532	0.055	0.221	1.46e-15	0.259	3.08e-14	1.54e-10	0.577	0.13	5.94726530612245e-14	0.51537528604119	8.48839406207827e-14	4.43004725897921e-10	0.9956866689993	0.352006227758007	0.419	0.487
K02844: UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	0.996	0.28	0.986	0.457	0	0	<2e-16	0.988	5.44e-15	2.74e-14	0.952	0.629	NA	1	1.9432676056338e-14	1.24061143984221e-13	0.997423222260392	0.940949373310396	0.511	0.532
K02102: arabinose operon protein AraM	0.148	0.161	0.111	0.115	0.018	0.072	0.00114	0.454	0.00338	0.11	0.548	0.114	0.00181744408945687	0.750542639869636	0.00478466511627907	0.13306240063593	0.9956866689993	0.325020140515222	0.096	0.234
K09758: aspartate 4-decarboxylase	1.482	0.393	1.132	0.55	0.063	0.252	<2e-16	0.000351	2.11e-15	3.22e-13	0.0664	0.717	NA	0.0040773606870229	8.15982846251588e-15	1.10923259762309e-12	0.9956866689993	1	0.542	0.554
K09759: nondiscriminating aspartyl-tRNA synthetase	0.803	0.343	0.62	0.419	0	0	2.66e-13	0.0359	5.26e-14	1.33e-07	0.876	0.0132	3.09583673469388e-12	0.120931543995573	1.37650988822012e-13	3.16733568075117e-07	0.9956866689993	0.0816548780487805	0.355	0.508
K06036	0.47	0.419	0.422	0.398	0.055	0.221	0.000237	0.839	0.000521	0.0111	0.521	0.0105	0.000437605920444033	1	0.000795816060225847	0.0158604929577465	0.9956866689993	0.0703893171806168	0.103	0.363
K06037	0.015	0.012	0.014	0.011	0.001	0.005	6.86e-06	0.902	4e-05	0.00135	0.728	0.181	1.67186324786325e-05	1	6.67800329127811e-05	0.00219424566088117	0.9956866689993	0.429363600935308	0.161	0.264
K03060: DNA-directed RNA polymerase subunit omega	1.348	0.645	1.108	0.821	0	0	6.42e-12	0.196	5.54e-12	6.06e-07	0.131	0.0573	4.99583625730994e-11	0.422319292035398	1.32973107255521e-11	1.37382569832402e-06	0.9956866689993	0.212544241316271	0.332	0.448
K13498	0.559	0.273	0.598	0.302	0.055	0.221	2.99e-10	0.779	8.14e-10	1.02e-08	0.512	0.26	1.56436173001311e-09	1	1.76328042704626e-09	2.586975e-08	0.9956866689993	0.542364633310487	0.281	0.362
K01583: arginine decarboxylase	0.963	0.243	0.817	0.336	0.115	0.252	<2e-16	0.0289	6.11e-15	1.46e-13	0.891	1	NA	0.104338256227758	2.17494561403509e-14	5.14295138888889e-13	0.9956866689993	1	0.498	0.498
K13490	0.128	0.11	0.168	0.165	0.728	0.217	<2e-16	0.361	1.67e-15	1.89e-15	0.145	0.0563	NA	0.646676574455562	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	0.210244233128834	0.651	0.694
K13491	0.058	0.087	0.016	0.028	0	0	0.0183	0.0245	0.0118	0.769	0.843	1.79e-05	0.023377152	0.0923986988847584	0.0157445418676019	0.807469898223219	0.9956866689993	0.001452764	0.042	0.539
K03644: lipoic acid synthetase	1.711	0.345	1.513	0.365	0.243	0.504	<2e-16	0.0362	1.67e-15	1.88e-14	0.633	0.369	NA	0.121605629139073	6.84531313131313e-15	1.04507397260274e-13	0.9956866689993	0.674910757211538	0.61	0.646
K03646: colicin import membrane protein	0.263	0.374	0.324	0.436	0	0	0.000352	0.72	0.0241	0.0156	0.532	0.00541	0.000625360035603026	0.970254593756918	0.0307992231786689	0.0217791743119266	0.9956866689993	0.0475190043290043	0.095	0.341
K03647: protein involved in ribonucleotide reduction	0.3	0.504	0.411	0.579	0	0	0.00903	0.543	0.0652	0.0234	0.394	0.117	0.0121906526885357	0.834656818181818	0.0783094711917916	0.0318150100513737	0.9956866689993	0.330018072289157	0.065	0.186
K03640: peptidoglycan-associated lipoprotein	1.433	0.395	1.272	0.634	0.086	0.344	<2e-16	0.216	1.57e-14	1.38e-13	0.644	0.107	NA	0.451973874183568	5.20228089275993e-14	4.8696e-13	0.9956866689993	0.312079060852899	0.488	0.557
