wgs	stoolMeans	stoolSDs	swabMeans	swabSDs	tissueMeans	tissueSDs	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K12276: MSHA biogenesis protein MshE	0.276	0.179	0.272	0.205	0	0	1.56312187166481e-07	0.994740230213278	9.86684657311443e-08	5.86639952271373e-06	0.599771174864459	0.912022154654115	2.98267173442749e-07	0.999999996206915	1.91822085884853e-07	1.22416091514427e-05	0.999248226209326	0.999998145862406
K12278: MSHA biogenesis protein MshG	0.303	0.222	0.283	0.226	0.062	0.247	0.000580438911284121	0.907133270956945	0.000353406566984904	0.00629732314623599	0.604567842319065	0.0286419727634613	0.00085074203057704	0.999999996206915	0.000547514831569639	0.00931740544266856	0.999248226209326	0.137386673137265
K07552: MFS transporter, DHA1 family, bicyclomycin/chloramphenicol	1.112	0.454	1.007	0.522	0.065	0.22	1.11017076624462e-13	0.518287112136649	6.91668944341473e-14	1.72510106200008e-09	0.690305238466332	0.0540744158357449	2.83694771374097e-13	0.814986735100951	1.79385976318984e-13	4.66282866980217e-09	0.999248226209326	0.20456865704921
K07221: outer membrane porin	1.2	0.467	1.072	0.515	0.071	0.285	9.07075157517234e-15	0.403253303425252	3.27515792264421e-14	4.64196014959839e-10	0.376865799456449	0.130787665200399	2.40582417595094e-14	0.690100534186032	8.85645769663941e-14	1.30150213867367e-09	0.999248226209326	0.353635564168423
K09878: aquaporin-10	0.02	0.051	0.113	0.278	0.102	0.359	0.0212663226003741	0.038036029434382	0.19187145423148	0.979995499303377	0.765611653871477	0.561282432050807	0.0255472874814441	0.12651656347928	0.217005117411189	0.991067055035663	0.999248226209326	0.8774713172851
K06228: fused	0.09	0.11	0.159	0.203	0.281	0.463	0.00142602741886342	0.239596507657375	0.00143690966674515	0.126677039283377	0.593623393324093	0.541506408972422	0.00199453789030828	0.486303415175206	0.00211012524522984	0.151728283769759	0.999248226209326	0.858279537008362
K06116: glycerol 3-phosphatase 1	0.381	0.265	0.316	0.284	0	0	8.80629934619964e-07	0.463067050037818	4.13162743018169e-07	0.000344534919941575	0.447559580062353	0.0170071376547975	1.6111795647826e-06	0.760985187251674	7.75970878355939e-07	0.000604550031041904	0.999248226209326	0.0975706379875138
K06221: 2,5-diketo-D-gluconate reductase A	1.69	0.314	1.547	0.289	0.212	0.479	1.58122507361021e-33	0.11343537850424	1.66533453693773e-15	2.1094237467878e-15	0.824926822499731	0.0963016218047234	1.11917639803085e-32	0.283100102072698	6.8261894453468e-15	1.80085025900383e-14	0.999248226209326	0.291862607998992
K09903: uridylate kinase	2.054	0.32	1.824	0.413	0	0	4.05603161800127e-49	0.00339985077965343	1.66533453693773e-15	1.66533453693773e-15	0.71870248745116	0.881659542727234	3.24856111299655e-47	0.0220158422295218	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K06222: 2,5-diketo-D-gluconate reductase B	1.052	0.353	0.868	0.467	0.044	0.136	6.77964558974658e-18	0.0498235213410257	2.69784194983913e-14	8.36231084377914e-11	0.575315613929422	0.444926222243453	2.03189082741445e-17	0.154811523431763	8.2687633175583e-14	2.44835912006174e-10	0.999248226209326	0.758830460856234
K11504: centromere protein L	0.183	0.53	1.754	0.703	3.161	0.078	1.51310110977613e-47	1.66533453693773e-15	1.66533453693773e-15	3.20521387209283e-13	0.979028233282705	0.110615554744506	7.8052936061079e-46	7.06510607593393e-13	6.8261894453468e-15	1.10476426044332e-12	0.999248226209326	0.319410285450574
K00773: queuine tRNA-ribosyltransferase	2.092	0.258	2.209	0.21	2.988	0.072	1.75581387895443e-27	0.0578502533009766	1.66533453693773e-15	2.43138842392909e-14	0.638643956449808	0.243778908818308	7.97585006059373e-27	0.173039062330734	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.519203015387348
K00772: 5'-methylthioadenosine phosphorylase	0.597	0.314	0.647	0.374	0.081	0.278	4.96398411175613e-08	0.752286165506167	7.6736874188299e-08	3.81933892623643e-07	0.947822449614309	0.999818306367543	9.7125590769076e-08	0.992235295652447	1.50288723675732e-07	8.77294945056646e-07	0.999248226209326	0.999998145862406
K04467: inhibitor of nuclear factor kappa-B kinase alpha subunit	0.019	0.096	0.052	0.123	0.216	0.34	1.00473979997051e-05	0.544824446251869	5.06575082603877e-06	0.00137094247660585	0.0443393588776446	0.613301548115734	1.71552627276872e-05	0.836405146112264	8.95851983675131e-06	0.00222650129538416	0.999248226209326	0.927264412166039
K00777	0.597	0.385	0.563	0.394	0.048	0.164	9.8822261186734e-07	0.903369275371256	5.16483495638376e-07	5.39613564202179e-05	0.315978196526994	0.494676338918406	1.79722469030072e-06	0.999999996206915	9.62005825566338e-07	0.000102388646050457	0.999248226209326	0.809651754502914
K09873: aquaporin TIP	0.006	0.013	0.009	0.03	0.007	0.028	0.736570347201905	0.718014678316893	0.970409932221509	0.941875287949449	0.0508859701939387	0.999827478658473	0.745387149362926	0.969501252385088	0.98104721100022	0.962429893864075	0.999248226209326	0.999998145862406
K09872: aquaporin PIP	0.141	0.123	0.104	0.131	0.019	0.077	0.000993066429327711	0.330267275722821	0.000803577481768292	0.0690076349977249	0.614840500160786	0.0778996355580204	0.00141564294035545	0.609377662117251	0.001206853227615	0.0867691539415723	0.999248226209326	0.255757864963145
K05593: aminoglycoside 6-adenylyltransferase	0.904	0.545	0.633	0.593	0	0	9.48882980124138e-09	0.0463316276158907	7.59707108333174e-09	0.000542253293878692	0.678955169905991	5.73943766054044e-06	1.92914185037262e-08	0.146504216778144	1.56757192149967e-08	0.000929511630481441	0.999248226209326	0.00073929959771259
K09874: aquaporin NIP	0.035	0.044	0.018	0.022	0	0	0.00130409183144339	0.0935377018063082	0.00246019895973648	0.296367519829923	0.687455280251223	0.28311256267502	0.00183580179879647	0.244993111400601	0.00353272731019485	0.33438166695176	0.999248226209326	0.57239393978275
K10200: N-acetylglucosamine transport system substrate-binding protein	0.875	0.389	0.923	0.488	0.068	0.273	1.8021569433621e-11	0.840756232967966	2.40293340780795e-11	8.21619661195427e-10	0.743769584666787	0.999844886533866	4.21750454219343e-11	0.999999996206915	5.61268444103108e-11	2.25889741540044e-09	0.999248226209326	0.999998145862406
K07177: PDZ domain-containing protein	0.315	0.376	0.231	0.302	0.004	0.017	0.00373973915779243	0.492317930160993	0.00282139251097768	0.0901825564002025	0.581112903868259	0.000163535321568225	0.00497895718580108	0.791531759347587	0.00402102931733111	0.110986902710884	0.999248226209326	0.00502747223427165
K07174: Mn2+-dependent serine/threonine protein kinase	0.089	0.192	0.097	0.215	0	0	0.184429887611863	0.979524976315981	0.180944832611769	0.22413876901542	0.592416690097389	0.0364258483608501	0.197714816113668	0.999999996206915	0.205755874483064	0.25854324180346	0.999248226209326	0.159628609771414
K07175: PhoH-like ATPase	1.382	0.304	0.904	0.464	0.075	0.3	1.22819197744839e-29	2.2982663550053e-09	1.66533453693773e-15	3.50353079880961e-12	0.0766557209615533	0.102939690962655	6.34097079451092e-29	9.14349496922695e-08	6.8261894453468e-15	1.1277626637945e-11	0.999248226209326	0.304311115954625
K07172	1.061	0.8	0.743	0.749	0.026	0.106	3.53080591664102e-06	0.119350922240862	2.87516710129054e-06	0.0076241871606928	0.715048777251673	1.71988784629936e-07	6.21515778328338e-06	0.294841340779273	5.15497559515627e-06	0.0111478326320291	0.999248226209326	6.15821018848481e-05
K07173: S-ribosylhomocysteine lyase	1.823	0.427	1.553	0.681	0.111	0.445	1.12135702709729e-24	0.0298900681724834	1.88737914186277e-15	3.08642000845794e-14	0.974554678433105	0.899646157568881	4.43803655652875e-24	0.106898263787254	7.46489722970673e-15	1.23961984661357e-13	0.999248226209326	0.999998145862406
K07170: GAF domain-containing protein	1.599	0.439	1.385	0.59	0.204	0.559	1.12283581401219e-18	0.103430918825415	2.40918396343659e-14	5.80369086122801e-12	0.859367927294792	0.53348787911275	3.47645045772746e-18	0.263865885536589	7.59435669882886e-14	1.83995136834869e-11	0.999248226209326	0.850311788468004
K07171	2.137	0.468	2.088	0.506	0.271	0.747	2.53722316262348e-26	0.894305443568603	1.66533453693773e-15	1.32116539930394e-14	0.526518457117829	0.195716692141175	1.07474442525325e-25	0.999999996206915	6.8261894453468e-15	7.92308747346114e-14	0.999248226209326	0.453373660097047
K00194: carbon-monoxide dehydrogenase delta subunit	0.494	0.435	0.339	0.438	0	0	6.50574860572855e-05	0.191703633110853	5.3863281774591e-05	0.0259631659551016	0.596306457522066	0.999847776843774	0.000104985397038891	0.415858879096851	8.91909129929095e-05	0.0350105873213787	0.999248226209326	0.999998145862406
K00197: carbon-monoxide dehydrogenase gamma subunit	0.547	0.439	0.529	0.509	0	0	2.74323270026765e-05	0.978590999051055	1.6962518774033e-05	0.000401871359713368	0.37317914551004	0.0675508585018956	4.55111950028051e-05	0.999999996206915	2.90275096366429e-05	0.000699511285837939	0.999248226209326	0.233758996987515
K00196: carbon-monoxide dehydrogenase iron sulfur subunit	0.607	0.275	0.61	0.253	0.011	0.044	4.80028600076162e-14	0.999130940052161	6.7168492989822e-14	2.64573918329347e-11	0.451617112249375	0.0500782518181543	1.24231891524813e-13	0.999999996206915	1.74426031070412e-13	8.00428151526211e-11	0.999248226209326	0.194777200522112
K00190	0.111	0.107	0.082	0.072	0	0	0.000129915616769035	0.341579862225683	8.69227145179341e-05	0.0181185171179621	0.45424274924019	4.58062361703076e-05	0.000203341825475217	0.623636302807607	0.0001416975263178	0.0250596259252523	0.999248226209326	0.00242454399624924
K00193: carbon-monoxide dehydrogenase beta subunit	0.389	0.336	0.401	0.378	0.05	0.198	0.000723880835495939	0.98531652686581	0.000602743121893012	0.00261377850318945	0.104455027796392	0.0222482033629973	0.00104886042505684	0.999999996206915	0.00091699509696645	0.00409842085237356	0.999248226209326	0.117454305178287
K05577: NADH dehydrogenase I subunit 5	0.623	0.186	0.629	0.227	0.626	0.145	0.989466611026335	0.988979145954873	0.998201326944816	0.998745959888831	0.252119497472336	0.157870159870575	0.989629191803697	0.999999996206915	0.999939268255353	0.999985557525021	0.999248226209326	0.394642982805829
K00198: carbon-monoxide dehydrogenase catalytic subunit	0.828	0.408	0.792	0.415	0	0	2.56217690299677e-12	0.897923897153549	1.29019017691689e-12	2.61770416454254e-09	0.0717659111870114	0.00947789948816148	6.18642237546265e-12	0.999999996206915	3.16413682791827e-12	6.976342053227e-09	0.999248226209326	0.0656336452610227
K10109: maltose/maltodextrin transport system permease protein	1.136	0.398	1.194	0.508	0.148	0.361	1.2519282468391e-14	0.792903773145927	5.04041253179821e-14	1.67954539165294e-12	0.734750700140358	0.100424944459273	3.31037673262799e-14	0.999999996206915	1.32131744535124e-13	5.52019049621567e-12	0.999248226209326	0.299944375330517
K10108: maltose/maltodextrin transport system substrate-binding protein	1.272	0.396	1.3	0.428	0.002	0.008	1.08353946543098e-23	0.940663941686945	2.99760216648792e-15	2.12052597703405e-14	0.789155344182451	0.0643575896155103	4.12993408019935e-23	0.999999996206915	1.12009848909834e-14	1.15349791083166e-13	0.999248226209326	0.228019529276575
K10105: lipoyltransferase 1	0.378	0.57	1.802	0.804	3.167	0.095	7.19527627272813e-40	1.52100554373646e-14	1.66533453693773e-15	5.82897063949872e-11	0.926236235180694	0.0583204241229053	9.54197095252639e-39	1.78045398936997e-12	6.8261894453468e-15	1.72488790873256e-10	0.999248226209326	0.214629033637318
K10706: senataxin	0.057	0.071	0.055	0.077	0.154	0.266	0.0042633584492938	0.996136427821849	0.00347586827126656	0.0121359701482345	0.0278287875622929	0.999921853573332	0.00563051917571086	0.999999996206915	0.00491009750921317	0.0172516698487397	0.999248226209326	0.999998145862406
K04678: E3 ubiquitin ligase SMURF1/2	0.024	0.095	0.123	0.228	0.843	0.461	1.38974586906498e-30	0.0548414349802733	1.66533453693773e-15	8.77076189453874e-15	0.484408892900695	0.999879193146192	7.66943164551092e-30	0.166993404064494	6.8261894453468e-15	5.73443906037135e-14	0.999248226209326	0.999998145862406
K01828	1.098	0.31	0.762	0.489	0.136	0.322	3.33041540568878e-18	5.36010679100807e-05	2.83106871279415e-14	2.81194115547834e-07	0.954237051848031	0.060518102311544	1.01108421817594e-17	0.000889018257135316	8.48160947682968e-14	6.52546161395221e-07	0.999248226209326	0.219662306959075
K01829: protein disulfide-isomerase	0.636	0.44	0.556	0.459	0.078	0.245	1.72659317822408e-05	0.65330603818108	8.75195963656594e-06	0.00132625254329422	0.117492676374046	0.00869669684927914	2.90164899940641e-05	0.926531652937613	1.52339657728844e-05	0.00215795221358778	0.999248226209326	0.0622114091491735
K01826: 5-carboxymethyl-2-hydroxymuconate isomerase	1.045	0.316	0.891	0.466	0.116	0.318	1.21009619009728e-16	0.102974330864463	2.97539770599542e-14	2.44906872559625e-10	0.83570358776006	0.0704856902040897	3.46139826556492e-16	0.263031788490132	8.48160947682968e-14	6.94663622213624e-10	0.999248226209326	0.239824704456285
K01824: cholestenol delta-isomerase	0.021	0.103	0.041	0.198	0.014	0.05	0.703647834970252	0.730450466567802	0.972072286132188	0.757218327527679	0.0734149546302709	0.999925120914699	0.713256348287082	0.978481848604605	0.982401462010067	0.796335169257254	0.999248226209326	0.999998145862406
K01825: dodecenoyl-CoA delta-isomerase	0.274	0.29	0.426	0.429	0.09	0.24	0.00374996698847363	0.0692285632109223	0.0841782983957513	0.00277085304546942	0.570399151299732	0.00103593787051029	0.00499148240954275	0.197413274059956	0.0999012092678764	0.00432577134849253	0.999248226209326	0.0159639337159395
K01823: isopentenyl-diphosphate delta-isomerase	1.166	0.403	1.058	0.572	0.245	0.527	4.81540635615365e-11	0.507185338016875	1.81360482187642e-11	1.98912101678772e-07	0.332406740800323	0.0165814475346162	1.10151741788453e-10	0.805179675475799	4.26396776777203e-11	4.66760972597797e-07	0.999248226209326	0.09585115968016
K01820	0.346	0.378	0.265	0.375	0.071	0.272	0.0206906611850537	0.561851463649126	0.0173932953773913	0.215998105236435	0.488643608649854	0.206877471116308	0.0248950493444202	0.852652669965652	0.0226903105362582	0.249889447609129	0.999248226209326	0.469174056141939
K01821: 4-oxalocrotonate tautomerase	0.635	0.709	0.642	0.76	0	0	0.00270310297098574	0.998385515557995	0.00213741509470666	0.00885937252728386	0.827069693770199	0.999768975571216	0.00366408952467428	0.999999996206915	0.00309257087746124	0.0128367056828319	0.999248226209326	0.999998145862406
K00999: CDP-diacylglycerol--inositol 3-phosphatidyltransferase	0.043	0.053	0.029	0.061	0	0	0.00673519284852247	0.402850353609315	0.00599016157756016	0.17000973252187	0.208740724317542	0.0109002820919284	0.00867847562848355	0.689774993648354	0.00829061244261226	0.199816420517595	0.999248226209326	0.0720412780603344
K00998: phosphatidylserine synthase	1.781	0.251	1.347	0.677	0.108	0.34	2.42438702466177e-33	1.29479433630397e-06	1.66533453693773e-15	2.60902410786912e-14	0.745670503703687	0.441807341384587	1.69428746488131e-32	3.53426597537322e-05	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.754568262347918
K00995: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	2.039	0.251	1.748	0.662	0.245	0.512	4.30282875058163e-34	0.00229858914821124	1.66533453693773e-15	4.77395900588817e-15	0.988218683172235	0.31884562087232	3.16702764265906e-33	0.0169388766890579	6.8261894453468e-15	3.42274304697777e-14	0.999248226209326	0.617015764609231
K00997: holo-[acyl-carrier protein] synthase	1.038	0.607	1.092	0.675	0.119	0.401	2.49541689841832e-07	0.907354719476435	2.59643774702667e-07	2.65464977555752e-06	0.400613444203569	0.999814450842129	4.71287702782262e-07	0.999999996206915	4.93120641689589e-07	5.70984211442353e-06	0.999248226209326	0.999998145862406
K00996: undecaprenyl-phosphate galactose phosphotransferase	1.351	0.215	1.133	0.415	0.022	0.088	1.26778189603913e-39	0.000354369733277404	1.66533453693773e-15	1.66533453693773e-15	0.589152185315467	0.154642900673844	1.62805662472367e-38	0.00409307128360448	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.389938416073607
K00991: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2.057	0.25	1.767	0.593	0	0	1.10927549664936e-47	0.000245715468806362	1.66533453693773e-15	1.66533453693773e-15	0.930435526146489	0.999847489939223	5.97536278593333e-46	0.00308385579097799	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K00990: [protein-PII] uridylyltransferase	0.454	0.404	0.396	0.477	0.052	0.206	0.00149056081961393	0.784252149926792	0.000918448028022212	0.0199062619880573	0.728029390857179	0.000283711029381935	0.00208192834075034	0.999999996206915	0.0013695720594246	0.0273520128039063	0.999248226209326	0.00688027504321847
K00992	1.631	0.386	1.452	0.546	0.265	0.403	5.3005458000517e-22	0.12432492901485	5.21804821573824e-15	3.8746783559418e-14	0.770911017344188	0.0471609818007359	1.87365983071514e-21	0.303788731838338	1.86726981124037e-14	1.46948081947774e-13	0.999248226209326	0.188736946890913
K02622: topoisomerase IV subunit B	1.801	0.224	1.606	0.238	0.167	0.38	7.04045898589835e-51	0.00104636815138648	1.66533453693773e-15	1.66533453693773e-15	0.970186230665714	0.612017464112687	9.11814337173687e-49	0.00949216533157898	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.926013001256258
K13483	0.723	0.34	0.684	0.375	0.046	0.184	4.31459159625883e-11	0.848503081219874	1.98975280696345e-11	3.27314658710165e-08	0.569190007243559	0.824580053362442	9.8993287020081e-11	0.999999996206915	4.66729300038017e-11	8.05988365580749e-08	0.999248226209326	0.999998145862406
K13482	0.49	0.24	0.535	0.295	0	0	6.08778540059144e-12	0.64528211441767	1.32973632105404e-11	1.52036050415916e-10	0.949816426822579	0.00359855561731596	1.4520513218417e-11	0.918791165019967	3.15068313984272e-11	4.37768892564654e-10	0.999248226209326	0.0359678292981975
