Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Bacillus halodurans C-125	PRJNA57791	4170	4065	4.2024	43.7	8	99.78	bio57791	Bacillus halodurans	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus licheniformis ATCC 14580	PRJNA58097	4332	4173	4.2226	46.2	7	99.68	bio58097	Bacillus licheniformis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus licheniformis ATCC 14580	PRJNA58199	4285	4192	4.2226	46.2	7	99.68	bio58199	Bacillus licheniformis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus megaterium DSM 319	PRJNA48371	5272	5100	5.0975	38.1	11	99.83	bio48371	Bacillus megaterium	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus megaterium QM B1551	PRJNA15862	5805	5612	5.5232	37.9674	11	99.70	bio15862	Bacillus megaterium	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus megaterium WSH-002	PRJNA74443	2214	2143	1.9329	54.1684	10	99.55	bio74443	Bacillus megaterium	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus pseudofirmus OF4	PRJNA45847	4434	4335	4.2493	39.8927	7	99.93	bio45847	Bacillus pseudofirmus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus pumilus SAFR-032	PRJNA59017	3822	3679	3.7045	41.3	7	99.89	bio59017	Bacillus pumilus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus selenitireducens MLS10	PRJNA49513	3420	3255	3.5925	48.7	7	99.81	bio49513	Bacillus selenitireducens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis BSn5	PRJNA62463	4258	4145	4.0936	43.8	9	99.65	bio62463	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. natto BEST195	PRJNA158137	4508	4381	4.0974	43.6959	9	99.80	bio15813	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. spizizenii str. W23	PRJNA51879	4170	4062	4.0277	43.9	8	99.80	bio51879	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. spizizenii TU-B-10	PRJNA73967	4475	4297	4.2072	43.8	10	99.86	bio73967	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. subtilis RO-NN-1	PRJNA158879	4257	4101	4.0120	43.9	10	99.80	bio15887	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. subtilis str. 168	PRJNA57675	4422	4176	4.2156	43.5	10	99.46	bio57675	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. subtilis str. 168	PRJNA55263	4397	4280	4.2144	43.5	9	99.61	bio55263	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. subtilis str. JH642	PRJNA55255	4381	4263	4.1873	43.5	9	99.61	bio55255	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus subtilis subsp. subtilis str. SMY	PRJNA55257	4399	4283	4.2144	43.5	9	99.61	bio55257	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus thuringiensis BMB171	PRJNA49135	5513	5352	5.6431	35.1891	14	99.88	bio49135	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus thuringiensis serovar finitimus YBT-020	PRJNA158875	5931	5782	5.6824	35.3815	14	99.81	bio15887	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus thuringiensis serovar chinensis CT-43	PRJNA158151	6380	6206	6.1512	35.1212	13	99.95	bio15815	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus thuringiensis serovar konkukian str. 97-27	PRJNA58089	5343	5197	5.3148	35.3594	14	99.81	bio58089	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus thuringiensis str. Al Hakam	PRJNA58795	4945	4798	5.3130	35.4084	14	99.83	bio58795	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus weihenstephanensis KBAB4	PRJNA58315	5983	5653	5.8728	35.5202	14	99.87	bio58315	Bacillus weihenstephanensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacteriovorax marinus SJ	PRJNA82341	3291	3230	3.4359	36.7	2	99.68	bio82341	Bacteriovorax marinus	Bacteriovorax	Bacteriovoracaceae	Bdellovibrionales	Deltaproteobacteria	Proteobacteria	
Bacteroides coprosuis DSM 18011	PRJNA66921	2539	2393	2.9917	35	2	99.54	bio66921	Bacteroides coprosuis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides fragilis 638R	PRJNA84217	4416	4290	5.3731	43.4	6	99.63	bio84217	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides fragilis NCTC 9343	PRJNA57639	4395	4231	5.2417	43.1233	6	100.00	bio57639	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides fragilis YCH46	PRJNA58195	4716	4624	5.3110	43.2378	6	99.84	bio58195	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides helcogenes P 36-108	PRJNA62135	3436	3244	3.9989	44.7	5	99.01	bio62135	Bacteroides helcogenes	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides salanitronis DSM 18170	PRJNA63269	3836	3641	4.3087	46.4428	6	98.84	bio63269	Bacteroides salanitronis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides thetaiotaomicron VPI-5482	PRJNA62913	4902	4816	6.2934	42.8231	5	98.94	bio62913	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bacteroides vulgatus ATCC 8482	PRJNA58253	4184	4066	5.1632	42.2	7	99.44	bio58253	Bacteroides vulgatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	
Bartonella bacilliformis KC583	PRJNA58533	1375	1283	1.4450	38.2	2	99.67	bio58533	Bartonella bacilliformis	Bartonella	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bartonella clarridgeiae 73	PRJNA62131	1448	1326	1.5227	35.7	2	100.00	bio62131	Bartonella clarridgeiae	Bartonella	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bartonella grahamii as4aup	PRJNA59405	2053	1768	2.3695	38.0798	2	100.00	bio59405	Bartonella grahamii	Bartonella	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bartonella henselae str. Houston-1	PRJNA57745	1665	1488	1.9311	38.2	2	100.00	bio57745	Bartonella henselae	Bartonella	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bartonella quintana str. Toulouse	PRJNA57635	1356	1142	1.5814	38.8	2	100.00	bio57635	Bartonella quintana	Bartonella	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bartonella tribocorum CIP 105476	PRJNA59129	2166	2087	2.6424	38.8655	2	100.00	bio59129	Bartonella tribocorum	Bartonella	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	PRJNA58111	651	595	0.6862	33.2	2	99.68	bio58111	Baumannia cicadellinicola	Baumannia	Bartonellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bdellovibrio bacteriovorus HD100	PRJNA61595	3628	3586	3.7830	50.6	2	100.00	bio61595	Bdellovibrio bacteriovorus	Bdellovibrio	Bdellovibrionaceae	Bdellovibrionales	Deltaproteobacteria	Proteobacteria	
Beijerinckia indica subsp. indica ATCC 9039	PRJNA59057	3982	3784	4.4186	57.0207	3	99.73	bio59057	Beijerinckia indica	Beijerinckia	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Beutenbergia cavernae DSM 12333	PRJNA59047	4278	4197	4.6692	73.1	2	99.67	bio59047	Beutenbergia cavernae	Beutenbergia	Beutenbergiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Bifidobacterium adolescentis ATCC 15703	PRJNA58559	1702	1632	2.0896	59.2	5	99.48	bio58559	Bifidobacterium adolescentis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis AD011	PRJNA58911	1603	1527	1.9337	60.5	2	99.48	bio58911	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis BB-12	PRJNA158871	1706	1642	1.9422	60.5	4	100.00	bio15887	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis Bl-04	PRJNA59359	1631	1567	1.9387	60.5	3	100.00	bio59359	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis BLC1	PRJNA158867	1622	1549	1.9440	60.5	4	100.00	bio15886	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis CNCM I-2494	PRJNA158869	1724	1660	1.9431	60.5	4	100.00	bio15886	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis DSM 10140	PRJNA59357	1629	1566	1.9385	60.5	3	100.00	bio59357	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium animalis subsp. lactis V9	PRJNA158865	1636	1572	1.9441	60.5	4	100.00	bio15886	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium bifidum PRL2010	PRJNA59883	1791	1706	2.2147	62.7	3	100.00	bio59883	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium bifidum S17	PRJNA59545	1845	1783	2.1869	62.8	3	100.00	bio59545	Bifidobacterium bifidum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium breve ACS-071-V-Sch8b	PRJNA158863	2011	1826	2.3275	58.7	3	99.74	bio15886	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium breve UCC2003	PRJNA13487	1985	1854	2.4227	58.7	2	100.00	bio13487	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium dentium Bd1	PRJNA43091	2197	2129	2.6364	58.5	4	100.00	bio43091	Bifidobacterium dentium	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum DJO10A	PRJNA58833	2074	2002	2.3895	60.1182	4	99.94	bio58833	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum NCC2705	PRJNA57939	1800	1729	2.2603	60.1075	4	100.00	bio57939	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. infantis 157F	PRJNA62693	2070	1999	2.4088	60.111	4	99.97	bio62693	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. infantis ATCC 15697	PRJNA58677	2588	2416	2.8328	59.9	4	99.83	bio15986	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. infantis ATCC 15697	PRJNA159865	2641	2552	2.8290	59.9	4	99.83	bio58677	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. longum BBMN68	PRJNA60163	1878	1806	2.2659	59.9	3	100.00	bio60163	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. longum F8	PRJNA45963	1744	1682	2.3850	59.9	1	n.d.	bio45963	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. longum JCM 1217	PRJNA62695	2009	1924	2.3852	60.3	4	99.97	bio62695	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. longum JDM301	PRJNA49131	2035	1958	2.4778	59.8	3	99.83	bio49131	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Bifidobacterium longum subsp. longum KACC 91563	PRJNA158861	2050	1985	2.3958	59.8115	3	99.92	bio15886	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	
Blastococcus saxobsidens	PRJNA89391	4910	4820	4.8753	72.9	3	99.74	bio89391	Blastococcus saxobsidens	Blastococcus	Geodermatophilaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Bordetella avium 197N	PRJNA61563	3502	3381	3.7323	61.6	3	100.00	bio61563	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Bordetella bronchiseptica RB50	PRJNA57613	5072	4994	5.3392	68.1	3	99.78	bio57613	Bordetella bronchiseptica	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Bordetella parapertussis 12822	PRJNA57615	4467	4185	4.7736	68.1	3	99.78	bio57615	Bordetella parapertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Bordetella pertussis CS	PRJNA158859	3873	3456	4.1242	67.7	3	99.78	bio15885	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Bordetella pertussis Tohama I	PRJNA57617	3867	3436	4.0862	67.7	3	99.78	bio57617	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Bordetella petrii DSM 12804	PRJNA61631	5089	5027	5.2880	65.5	3	99.78	bio61631	Bordetella petrii	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Bradyrhizobiaceae bacterium SG-6C	PRJNA68635	4293	4236	4.3259	-	1	n.d.	bio68635	Bradyrhizobiaceae bacterium	Bradyrhizobiaceae	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bradyrhizobium japonicum USDA 110	PRJNA57599	8373	8317	9.1058	64.1	1	n.d.	bio57599	Bradyrhizobium japonicum	Bradyrhizobium	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Bradyrhizobium japonicum USDA 6	PRJNA158851	8885	8826	9.2074	63.7	2	99.67	bio15885	Bradyrhizobium japonicum	Bradyrhizobium	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brachybacterium faecium DSM 4810	PRJNA58649	3191	3068	3.6150	72	3	99.69	bio58649	Brachybacterium faecium	Brachybacterium	Dermabacteraceae	Actinomycetales	Actinobacteria	Actinobacteria	
Brachyspira hyodysenteriae WA1	PRJNA59291	2680	2642	3.0366	27.0373	1	n.d.	bio59291	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Brachyspira murdochii DSM 12563	PRJNA48819	2894	2809	3.2418	27.8	1	n.d.	bio48819	Brachyspira murdochii	Brachyspira	Brachyspiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Brachyspira pilosicoli 95/1000	PRJNA50609	2336	2299	2.5864	27.9	1	n.d.	bio50609	Brachyspira pilosicoli	Brachyspira	Brachyspiraceae	Spirochaetales	Spirochaetia	Spirochaetes	
Brevibacillus brevis NBRC 100599	PRJNA59175	6121	5947	6.2964	47.3	15	99.49	bio59175	Brevibacillus brevis	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	
Brevundimonas subvibrioides ATCC 15264	PRJNA42117	3393	3327	3.4453	68.4	2	100.00	bio42117	Brevundimonas subvibrioides	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	
Brucella abortus A13334	PRJNA83615	3401	3338	3.2860	57.2354	3	99.78	bio83615	Brucella abortus	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella abortus bv. 1 str. 9-941	PRJNA58019	3355	3084	3.2864	57.2354	3	100.00	bio58019	Brucella abortus	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella abortus S19	PRJNA58873	3133	3000	3.2839	57.2354	3	100.00	bio58873	Brucella abortus	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella canis ATCC 23365	PRJNA59009	3418	3251	3.3128	57.2364	3	100.00	bio59009	Brucella canis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella canis HSK A52141	PRJNA83613	3342	3280	3.2775	57.2357	3	100.00	bio83613	Brucella canis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella melitensis ATCC 23457	PRJNA59241	3347	3135	3.3112	57.2358	3	100.00	bio59241	Brucella melitensis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella melitensis biovar Abortus 2308	PRJNA62937	3418	3034	3.2783	57.2353	3	99.91	bio62937	Brucella melitensis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella melitensis bv. 1 str. 16M	PRJNA57735	3264	3198	3.2949	57.2357	3	100.00	bio57735	Brucella melitensis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella melitensis M28	PRJNA158857	3427	3363	3.3118	57.2358	3	100.00	bio15885	Brucella melitensis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella melitensis M5-90	PRJNA158855	3422	3358	3.3122	57.2358	3	100.00	bio15885	Brucella melitensis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella melitensis NI	PRJNA158853	3290	3229	3.2945	57.2357	3	100.00	bio15885	Brucella melitensis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella microti CCM 4915	PRJNA59319	3410	3282	3.3374	57.2366	3	100.00	bio59319	Brucella microti	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella ovis ATCC 25840	PRJNA58113	3198	2890	3.2756	57.2	3	100.00	bio58113	Brucella ovis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella suis 1330	PRJNA57927	3447	3271	3.3152	57.2364	6	100.00	bio57927	Brucella suis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella suis ATCC 23445	PRJNA59015	3426	3241	3.3246	57.1843	3	100.00	bio59015	Brucella suis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Brucella suis VBI22	PRJNA83617	3438	3270	3.3161	57.2364	3	100.00	bio83617	Brucella suis	Brucella	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Buchnera aphidicola (Cinara tujafilina)	PRJNA68101	405	360	0.4449	23	1	n.d.	bio68101	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola BCc	PRJNA58579	402	362	0.4224	20.2032	1	n.d.	bio58579	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	PRJNA59285	599	555	0.6421	26.3	1	n.d.	bio59285	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	PRJNA158533	625	569	0.6532	25.7113	1	n.d.	bio15853	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	PRJNA57805	618	574	0.6557	26.3523	1	n.d.	bio57805	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. Bp (Baizongia pistaciae)	PRJNA57827	553	507	0.6184	25.3004	1	n.d.	bio57827	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	PRJNA158845	512	477	0.6418	26.3	1	n.d.	bio15884	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	PRJNA158847	-	-	0.6417	26.3	1	n.d.	bio15884	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	PRJNA158843	612	577	0.6418	26.3	1	n.d.	bio15884	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. Sg (Schizaphis graminum)	PRJNA57913	619	546	0.6415	25.3	1	n.d.	bio57913	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	PRJNA158849	608	573	0.6418	26.3	1	n.d.	bio15884	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	PRJNA59283	598	553	0.6419	26.3	1	n.d.	bio59283	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	PRJNA158535	591	538	0.6280	24.1448	1	n.d.	bio15853	Buchnera aphidicola	Buchnera	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Burkholderia ambifaria AMMD	PRJNA58303	6717	6610	7.5286	66.7904	6	99.59	bio58303	Burkholderia ambifaria	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia ambifaria MC40-6	PRJNA58701	6886	6697	7.6425	66.3825	6	99.75	bio58701	Burkholderia ambifaria	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia cenocepacia AU 1054	PRJNA58371	6632	6477	7.2791	66.9164	6	99.57	bio58371	Burkholderia cenocepacia	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia cenocepacia HI2424	PRJNA58369	7032	6919	7.7028	66.8004	6	99.60	bio58369	Burkholderia cenocepacia	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia cenocepacia J2315	PRJNA57953	7365	7116	8.0558	66.9165	6	99.75	bio57953	Burkholderia cenocepacia	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia cenocepacia MC0-3	PRJNA58769	7176	7008	7.9714	66.5829	6	99.75	bio58769	Burkholderia cenocepacia	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia gladioli BSR3	PRJNA66301	7757	7411	9.0523	67.4147	5	99.87	bio66301	Burkholderia gladioli	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia glumae BGR1	PRJNA59397	6302	5773	7.2846	67.9346	5	99.79	bio59397	Burkholderia glumae	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia mallei ATCC 23344	PRJNA57725	5507	5023	5.8355	68.5188	4	99.75	bio57725	Burkholderia mallei	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
